Student_ID,Age,Gender,Study_Hours_Per_Day,Sleep_Hours_Per_Night,Screen_Time_Hours,Social_Media_Hours,Attendance_Percentage,Assignments_Completed,Class_Participation_Score,Physical_Activity_Hours_Per_Week,Stress_Level,Motivation_Level,Internet_Quality,Part_Time_Job,Extracurricular_Involvement,AI_Tool_Usage_Hours_Per_Week,Previous_Semester_GPA,Productivity_Score,Performance_Category
2774,20.0,Male,8.6,6.6,5.5,1.3,100.0,89.4,6.3,3.7,9.6,8.6,Average,No,0.0,0.5,9.76,68.32,High
2775,20.0,Male,3.4,5.4,5.3,5.8,86.1,80.5,5.8,4.7,7.4,3.5,Average,Yes,3.0,2.3,6.93,39.35,Low
2776,20.0,Male,7.3,6.7,9.0,0.0,,32.6,7.5,2.9,3.5,10.0,Average,No,3.6,4.3,9.19,66.73,High
2777,16.0,Male,2.7,6.3,6.0,3.9,86.4,43.8,6.6,3.7,5.1,7.5,Average,Yes,4.1,3.8,6.72,55.6,Medium
2778,18.0,Female,4.6,7.7,10.5,3.6,58.2,81.3,5.2,1.0,4.3,5.9,Average,,5.5,10.4,8.45,52.91,Medium
2779,20.0,Female,5.7,6.6,7.8,1.0,95.3,60.0,0.4,7.8,4.1,4.2,Good,Yes,2.6,7.2,4.15,45.63,Low
2780,18.0,Female,4.2,3.5,3.6,1.8,100.0,56.3,6.4,2.2,4.7,5.2,Average,Yes,4.8,7.7,7.04,35.97,Low
2781,16.0,Female,3.6,10.0,10.8,2.4,90.7,73.1,2.3,1.3,4.8,3.9,Average,No,6.0,1.0,6.25,45.77,Low
2782,23.0,Female,5.7,7.2,,3.4,67.0,81.2,7.5,8.1,4.6,5.3,Average,No,4.5,1.4,6.17,63.14,High
2783,25.0,Male,8.0,7.1,10.7,3.6,54.1,100.0,7.8,2.1,5.6,,Average,No,,2.3,5.53,50.83,Medium
2784,23.0,Male,4.8,5.0,5.3,2.9,97.7,60.3,1.0,4.3,4.9,7.5,Average,No,4.6,7.5,4.52,53.3,Medium
2785,23.0,Female,3.2,5.1,6.7,3.3,78.1,82.8,6.7,9.2,8.1,3.0,Average,No,4.3,2.7,7.72,47.45,Medium
2786,18.0,Female,3.8,6.9,7.1,4.2,74.9,56.5,6.6,1.7,5.6,6.6,Average,Yes,4.1,3.6,4.63,48.55,Medium
2787,25.0,Male,9.2,7.4,5.6,4.1,95.1,66.1,6.8,2.1,5.5,5.7,Average,No,0.0,5.6,6.82,65.05,High
2788,18.0,Other,4.5,7.9,9.2,5.8,72.3,78.4,3.3,1.4,4.6,5.1,Poor,No,6.8,10.4,9.5,57.8,Medium
2789,25.0,Male,3.0,7.3,10.8,4.9,89.9,72.3,7.0,6.6,5.2,1.0,Good,No,1.9,5.3,5.59,51.9,Medium
2790,25.0,Male,1.9,5.5,1.0,3.0,80.3,50.4,3.2,3.6,2.7,4.8,Good,No,6.4,4.8,6.91,57.57,Medium
2791,22.0,Male,0.5,3.7,8.0,4.2,83.2,84.2,7.5,1.2,4.9,5.9,Poor,Yes,3.6,1.9,6.47,20.97,Low
2792,25.0,Male,4.9,6.9,3.8,3.8,100.0,88.3,7.0,5.6,8.2,6.9,Poor,Yes,5.8,2.5,5.35,63.37,High
2793,21.0,Female,5.5,6.3,1.0,3.3,73.6,100.0,5.3,0.3,4.0,7.0,Good,No,6.7,4.4,8.25,76.06,High
2794,18.0,Other,3.4,5.4,7.3,1.4,72.5,79.0,6.9,0.8,6.2,7.9,Good,No,1.7,1.8,8.07,49.73,Medium
2795,20.0,Male,4.2,8.1,7.3,3.3,77.4,78.1,3.9,2.7,8.2,5.8,,No,3.6,4.9,5.95,49.85,Medium
2796,21.0,Other,1.9,5.0,7.7,0.0,64.4,80.5,4.8,2.4,6.1,5.9,Good,Yes,3.8,9.7,8.56,40.62,Low
2797,17.0,Female,4.5,7.8,6.9,4.9,92.2,50.4,8.6,4.8,4.8,5.5,Good,No,1.9,8.3,6.38,73.37,High
2798,21.0,Female,5.2,5.2,8.2,3.6,90.4,,8.5,1.3,6.9,7.2,Average,No,3.6,1.0,6.41,37.77,Low
2799,25.0,Female,3.1,7.2,4.5,2.7,79.9,73.5,3.6,1.1,5.4,5.9,Average,No,3.7,4.8,6.31,49.61,Medium
2800,18.0,Male,7.6,8.2,6.7,2.2,68.0,33.7,4.6,2.2,7.4,7.7,Poor,No,4.2,4.5,7.79,62.4,Medium
2801,23.0,Female,2.5,6.6,,4.2,44.3,54.6,4.8,1.6,6.2,8.1,Good,No,6.7,10.2,7.24,33.08,Low
2802,24.0,Male,4.8,9.2,9.4,6.3,69.2,66.0,6.1,4.6,2.0,7.8,Average,No,6.5,7.1,5.37,63.88,High
2803,24.0,Female,5.9,9.5,6.1,3.7,77.0,93.2,5.7,6.2,4.3,5.1,Good,No,7.2,5.3,6.85,67.99,High
2804,25.0,Male,4.0,7.3,5.5,6.4,55.3,79.7,8.8,4.0,6.0,1.9,Average,No,1.0,2.2,6.14,47.95,Medium
2805,20.0,Female,3.8,7.7,5.9,4.4,100.0,47.7,9.4,5.7,7.8,6.3,Poor,No,1.3,8.4,7.47,53.63,Medium
2806,25.0,Female,1.3,8.4,3.0,1.6,85.4,74.3,10.0,0.5,7.3,6.5,Average,No,2.3,0.1,8.8,67.54,High
2807,22.0,Male,6.9,7.7,7.9,3.9,87.1,85.5,10.0,1.8,7.5,1.7,Average,No,6.2,3.3,7.44,69.33,High
2808,18.0,Male,3.9,7.6,2.4,3.7,78.1,87.9,2.5,3.6,5.1,9.2,Average,Yes,2.6,3.6,4.82,70.91,High
2809,20.0,Female,5.3,,7.0,1.5,89.6,93.8,5.6,5.0,4.1,7.0,Poor,No,3.7,4.2,9.92,68.94,High
2810,,Female,5.5,4.8,6.2,2.3,76.1,96.6,4.5,1.9,4.2,9.2,Good,No,4.8,5.3,7.03,59.25,Medium
2811,18.0,Male,2.9,5.2,2.1,2.2,77.9,85.3,4.0,0.6,4.0,6.3,Poor,No,0.0,2.6,5.32,55.84,Medium
2812,21.0,Female,3.8,10.0,2.3,3.2,98.3,83.8,9.1,8.1,10.0,6.6,Average,No,3.3,9.1,8.19,77.99,High
2813,21.0,Male,6.9,7.4,3.9,2.5,94.3,79.2,6.9,0.9,9.5,6.8,Poor,No,3.4,1.2,7.6,66.14,High
2814,18.0,Male,2.0,6.7,5.1,3.5,79.9,90.2,2.5,2.4,2.9,5.0,Average,Yes,3.6,4.5,6.28,49.83,Medium
2815,21.0,Male,8.5,8.6,9.7,3.8,100.0,60.8,10.0,1.8,6.4,3.4,Average,Yes,6.4,4.8,6.69,49.1,Medium
2816,22.0,Male,2.7,,5.7,5.3,78.9,71.3,2.0,5.7,5.2,3.2,Average,Yes,0.0,4.6,5.68,35.82,Low
2817,20.0,Female,1.8,7.8,7.4,4.0,73.4,62.4,5.2,1.3,4.9,10.0,Average,No,1.5,8.6,6.61,49.62,Medium
2818,16.0,Other,4.5,7.1,9.2,1.7,81.7,82.8,6.2,3.4,,5.6,Good,No,4.2,1.6,8.07,66.67,High
2819,16.0,Male,8.6,7.6,8.7,6.8,83.9,70.3,3.5,3.6,4.4,3.4,Good,Yes,5.4,1.7,8.29,49.13,Medium
2820,19.0,Female,0.4,6.6,6.0,1.7,64.5,93.2,7.2,6.2,4.5,9.9,Poor,No,7.2,2.1,6.36,62.53,Medium
2821,24.0,Male,3.9,5.7,4.2,2.3,86.3,75.9,4.6,2.7,6.6,8.9,Average,No,,7.0,6.37,53.45,Medium
2822,18.0,Female,5.2,5.9,7.2,4.1,100.0,94.1,7.8,2.8,8.5,8.5,Good,Yes,3.0,2.3,5.02,66.56,High
2823,21.0,Male,4.3,6.0,4.3,8.2,92.4,37.0,6.9,5.5,10.0,1.4,Poor,Yes,0.3,7.7,7.76,39.22,Low
2824,18.0,Female,5.0,7.0,10.5,3.7,88.6,62.0,0.5,2.5,6.7,8.9,Good,No,4.1,6.0,5.7,43.97,Low
2825,19.0,Female,2.8,5.0,8.2,1.8,86.2,91.9,2.6,,3.6,2.8,Good,No,3.9,4.5,4.69,38.36,Low
2826,23.0,Male,3.0,5.4,6.5,0.0,67.0,75.4,7.9,2.5,7.1,5.7,Average,No,6.1,3.9,7.99,36.93,Low
2827,22.0,Female,3.9,7.2,7.3,0.0,67.0,94.0,6.9,11.0,4.7,5.6,Average,No,6.5,,5.77,65.61,High
2828,17.0,Male,1.9,6.8,6.4,3.0,82.1,79.5,3.7,1.2,,7.2,Good,No,3.1,10.4,6.9,60.67,Medium
2829,19.0,Male,4.1,7.2,5.1,4.0,74.4,58.2,4.5,0.8,9.0,6.4,Good,Yes,1.7,1.7,8.32,42.39,Low
2830,16.0,Male,3.4,6.9,7.2,0.4,61.2,100.0,5.8,2.7,8.6,4.8,Good,No,6.4,7.5,8.78,64.37,High
2831,20.0,Male,3.3,10.0,5.4,3.4,75.4,63.1,1.5,3.0,7.5,9.8,Good,No,2.2,2.4,7.56,43.46,Low
2832,21.0,Male,4.8,7.2,10.8,0.6,85.9,61.6,10.0,5.8,9.2,9.8,Good,No,1.7,3.2,5.65,61.75,Medium
2833,17.0,Male,0.6,6.5,4.3,1.3,87.5,89.8,3.8,3.1,1.0,6.8,Poor,No,1.1,13.7,8.19,58.25,Medium
2834,18.0,Male,3.7,7.1,7.3,4.1,69.2,58.6,6.1,1.1,4.0,5.7,Average,Yes,1.1,9.1,8.54,55.88,Medium
2835,19.0,Male,8.8,8.3,4.0,1.7,79.4,51.7,9.7,1.5,7.0,9.3,Average,No,10.0,3.0,5.63,61.86,Medium
2836,24.0,Female,2.0,6.9,4.0,5.4,85.4,61.2,,3.1,5.5,8.3,Average,No,4.2,19.4,8.12,55.49,Medium
2837,25.0,Female,6.8,7.9,1.5,1.9,63.5,89.8,6.7,2.3,8.0,3.2,Average,No,3.0,1.5,5.01,53.75,Medium
2838,16.0,Male,4.3,7.5,7.0,5.0,70.0,100.0,3.9,1.9,2.9,10.0,Average,No,0.0,6.7,6.87,63.01,Medium
2839,22.0,Male,3.0,6.6,4.7,7.1,79.8,75.1,4.8,4.2,8.2,3.9,Average,Yes,2.7,2.5,6.69,44.22,Low
2840,19.0,Male,1.6,7.1,8.7,1.7,68.2,62.0,4.0,1.6,6.7,5.0,Average,No,8.8,17.6,5.08,22.82,Low
2841,19.0,Female,4.5,9.1,7.0,7.4,75.7,97.2,8.8,2.6,5.8,2.7,Average,No,2.4,2.0,9.28,54.96,Medium
2842,22.0,Female,7.1,7.3,6.4,3.0,100.0,63.9,4.5,7.2,1.9,4.9,Good,No,4.3,2.4,6.59,73.0,High
2843,24.0,Male,3.4,5.7,2.5,1.9,60.4,67.0,4.4,6.4,10.0,8.6,Average,Yes,3.0,8.6,,47.65,Medium
2844,25.0,Male,4.0,6.6,7.5,2.5,98.5,82.5,4.1,6.2,3.0,6.1,Average,Yes,7.2,9.2,7.13,74.98,High
2845,21.0,Male,6.2,4.3,4.3,2.3,84.4,95.5,6.8,0.7,2.5,6.5,Average,No,3.4,4.5,6.12,48.66,Medium
2846,19.0,Male,4.9,7.2,2.4,5.5,64.1,76.3,7.3,1.8,6.9,4.2,Average,No,6.9,10.0,7.16,56.76,Medium
2847,22.0,Other,1.1,8.7,7.1,5.4,88.8,68.6,1.6,1.8,8.0,7.5,Average,No,1.6,6.4,5.49,43.59,Low
2848,18.0,Female,4.4,5.3,2.9,5.4,80.6,100.0,6.1,1.2,5.3,1.8,Good,No,4.6,9.3,4.94,49.08,Medium
2849,21.0,Male,7.2,7.2,1.0,0.7,95.7,62.9,6.7,8.3,3.7,5.3,Average,No,0.0,5.7,6.0,62.82,Medium
2850,19.0,Female,4.1,8.3,9.2,3.3,88.6,64.9,9.1,1.6,4.5,5.7,Poor,No,4.2,13.0,4.09,60.47,Medium
2851,21.0,Male,0.0,,4.6,0.2,82.6,68.0,3.3,1.5,6.5,5.3,Average,No,4.9,5.5,4.91,45.74,Low
2852,18.0,Male,5.0,8.7,1.6,4.8,76.0,84.9,3.5,3.1,4.3,6.6,Poor,No,3.5,17.1,6.94,63.32,High
2853,18.0,Female,3.8,4.6,3.6,2.1,95.2,66.6,7.4,2.0,8.3,2.7,Average,No,6.8,6.7,5.65,42.01,Low
2854,24.0,Female,0.5,7.7,4.2,3.9,74.9,89.7,,2.5,3.8,8.0,Average,No,3.0,3.3,4.42,53.02,Medium
2855,17.0,Male,0.8,5.0,8.9,2.1,61.8,74.1,9.0,3.0,2.0,3.6,Average,No,5.3,9.1,4.71,23.4,Low
2856,20.0,Male,6.2,5.7,1.8,0.0,55.4,69.3,,2.4,9.0,10.0,Poor,No,5.6,3.4,5.33,56.84,Medium
2857,18.0,Female,2.7,8.1,2.7,4.6,63.9,64.9,6.6,2.8,4.0,6.8,Good,No,1.3,2.9,5.76,46.52,Low
2858,16.0,Female,2.4,7.2,8.5,4.7,90.4,74.5,5.9,3.8,6.6,7.4,Poor,No,7.5,7.8,4.67,56.35,Medium
2859,16.0,Male,4.1,7.9,4.9,3.3,75.3,83.0,5.7,2.7,6.7,4.5,Good,Yes,5.2,1.7,7.73,54.84,Medium
2860,18.0,Male,2.9,5.8,6.6,0.0,70.0,74.4,5.9,3.2,4.1,4.9,Poor,No,3.9,5.8,8.65,55.26,Medium
2861,23.0,Male,4.4,8.9,4.8,4.4,74.4,79.2,6.1,4.4,6.9,8.9,Poor,Yes,5.6,18.3,7.86,56.89,Medium
2862,18.0,Other,3.8,7.9,11.1,1.7,90.8,61.0,9.1,2.6,4.6,2.9,Average,Yes,1.1,3.0,4.74,60.02,Medium
2863,25.0,Female,1.8,8.2,2.8,3.9,88.2,62.1,1.5,2.3,4.0,6.0,Average,No,2.3,4.8,7.04,52.33,Medium
2864,21.0,Male,3.2,5.6,6.7,2.1,82.1,74.9,5.1,2.9,,6.0,Good,No,5.3,5.5,7.3,58.69,Medium
2865,20.0,Female,5.1,8.5,9.8,2.3,72.2,77.2,6.5,3.4,9.4,7.0,Average,No,1.1,3.2,7.36,65.79,High
2866,21.0,Female,4.3,6.6,5.1,3.9,74.9,75.9,4.7,1.4,6.2,6.5,Average,Yes,4.0,11.2,9.08,61.8,Medium
2867,20.0,Male,4.0,6.2,4.1,1.5,78.3,64.4,5.4,2.6,7.5,7.0,Poor,No,10.0,6.3,3.61,47.61,Medium
2868,22.0,Male,8.1,7.8,7.9,2.7,68.4,76.3,5.0,6.9,5.7,4.8,Good,No,6.4,4.9,6.3,48.28,Medium
2869,18.0,Female,5.7,7.8,8.5,3.9,78.6,75.5,8.9,0.5,4.4,10.0,Good,Yes,4.0,9.0,8.07,71.01,High
2870,19.0,Female,5.9,5.9,4.0,6.9,67.7,72.8,5.1,3.5,6.3,6.0,Average,No,0.8,0.7,7.08,49.34,Medium
2871,24.0,Female,3.9,9.7,9.7,,84.8,63.3,4.4,1.0,5.2,8.3,Average,No,5.8,3.1,1.51,29.63,Low
2872,24.0,Female,4.6,9.4,6.1,4.5,86.2,84.3,7.7,6.5,4.5,8.3,Average,No,4.3,2.1,4.79,77.31,High
2873,24.0,Male,3.3,7.8,7.3,0.9,94.5,74.8,4.8,7.4,7.2,1.0,Average,Yes,5.9,1.8,7.75,48.45,Medium
2874,19.0,Male,5.8,7.6,9.7,6.1,83.4,61.5,5.6,3.3,6.5,2.6,Good,Yes,4.3,6.5,5.57,47.82,Medium
2875,22.0,Other,4.0,7.4,7.9,1.5,83.0,72.8,3.6,1.6,4.1,4.2,Good,Yes,4.8,6.2,5.52,44.5,Low
2876,20.0,Male,4.6,5.0,6.0,2.8,69.1,64.5,5.1,1.0,7.5,4.9,Average,Yes,3.9,0.7,6.84,33.02,Low
2877,20.0,Female,4.5,7.1,4.3,3.9,79.4,75.1,5.9,0.9,5.5,6.6,Average,No,8.1,5.7,8.89,62.63,Medium
2878,18.0,Female,4.2,7.1,12.8,1.6,66.7,100.0,3.2,1.5,7.4,6.6,Average,No,4.5,5.7,4.92,40.7,Low
2879,21.0,Female,10.1,6.3,4.0,4.9,57.8,77.7,5.8,2.5,4.0,4.3,,No,4.7,5.8,7.78,41.28,Low
2880,18.0,Male,2.9,6.6,6.8,1.8,76.6,78.6,7.1,3.6,3.6,1.5,Poor,Yes,3.3,1.9,5.25,36.9,Low
2881,19.0,Female,2.8,3.9,7.3,4.5,73.5,100.0,1.6,4.4,4.5,9.6,Average,No,0.5,10.9,7.38,40.8,Low
2882,23.0,Female,5.6,5.6,7.4,4.9,87.9,79.9,4.6,5.3,5.6,7.9,Average,No,8.0,2.7,8.07,60.79,Medium
2883,18.0,Female,3.0,8.2,11.3,4.0,67.5,82.8,10.0,2.2,5.1,7.5,Good,No,3.0,3.5,6.69,59.16,Medium
2884,17.0,Female,3.6,9.3,6.1,4.3,100.0,77.6,5.5,1.1,8.3,7.1,Good,,5.5,3.1,5.09,57.14,Medium
2885,16.0,Male,2.0,5.8,5.8,7.6,73.8,68.1,8.5,3.4,3.7,7.4,Poor,No,7.0,5.0,8.52,64.75,High
2886,24.0,Male,5.2,7.2,9.9,3.7,79.1,83.1,5.9,3.1,1.1,2.7,Good,No,3.6,7.5,5.57,45.14,Low
2887,20.0,Male,5.2,8.4,5.7,3.2,72.6,100.0,5.3,4.5,5.5,2.6,Good,No,7.8,2.0,7.79,68.04,High
2888,19.0,Male,3.6,,8.2,3.6,90.1,51.2,8.1,3.3,6.6,7.4,Average,Yes,2.4,7.8,6.77,50.35,Medium
2889,23.0,Other,5.6,7.9,6.5,5.3,77.2,66.8,8.6,2.6,4.7,1.2,Good,No,0.0,1.4,4.75,42.59,Low
2890,23.0,Female,0.5,7.0,8.3,7.2,67.3,59.6,4.0,2.0,6.0,6.9,Poor,No,2.1,2.0,3.7,14.04,Low
2891,19.0,Female,2.8,8.5,7.8,2.7,56.2,61.7,3.6,2.9,3.8,7.7,Good,No,4.9,10.2,5.51,57.24,Medium
2892,22.0,Female,3.9,5.3,5.0,1.4,87.5,97.0,3.0,5.8,3.5,,Average,No,4.2,4.2,7.18,74.99,High
2893,22.0,Male,1.9,5.6,1.4,5.1,88.4,72.2,4.1,3.1,6.8,5.3,Poor,No,5.3,12.4,5.4,37.83,Low
2894,21.0,Other,0.7,7.4,1.8,0.5,84.5,88.0,8.5,4.3,6.9,3.6,Average,No,2.8,3.7,10.0,74.93,High
2895,17.0,Male,,7.1,1.4,3.5,77.2,63.0,6.1,4.9,6.8,8.3,Average,No,0.0,5.0,6.86,74.05,High
2896,23.0,Male,5.6,6.9,5.8,3.5,75.9,63.4,8.6,2.4,6.7,5.5,Good,Yes,4.6,2.4,8.78,60.5,Medium
2897,20.0,Female,6.8,7.7,1.0,2.8,90.1,56.7,3.7,5.9,6.4,2.3,Good,No,4.9,9.3,8.26,63.2,High
2898,18.0,Female,3.1,5.8,5.6,2.9,78.7,100.0,3.8,1.6,5.2,1.0,Poor,No,4.8,3.2,7.08,40.04,Low
2899,19.0,Female,5.7,5.2,6.3,0.0,94.6,89.0,5.1,3.6,7.0,7.3,Poor,No,3.2,8.0,,62.12,Medium
2900,16.0,Male,5.5,6.3,8.1,1.4,78.7,56.1,6.7,6.4,3.7,7.7,Poor,Yes,4.4,8.1,6.91,56.09,Medium
2901,17.0,Female,6.6,6.5,7.3,4.7,78.2,95.6,5.7,,8.2,6.0,Poor,No,4.1,3.0,7.8,60.41,Medium
2902,22.0,Male,3.5,6.6,8.3,0.0,84.8,70.3,7.5,2.6,,5.9,Average,Yes,4.1,10.7,7.08,57.95,Medium
2903,16.0,Male,0.6,8.6,7.0,2.8,98.1,83.2,6.9,1.4,2.2,6.0,,No,5.8,3.0,8.55,71.38,High
2904,19.0,Female,4.3,8.0,5.2,2.4,95.3,75.8,7.1,6.3,7.3,5.6,Good,No,0.2,3.2,7.19,78.18,High
2905,20.0,Female,2.2,7.7,5.7,0.0,79.4,49.1,7.5,4.1,7.3,2.5,,No,3.3,4.6,5.26,40.78,Low
2906,16.0,Female,2.8,7.3,3.9,6.0,75.1,60.1,8.4,1.4,10.0,5.2,Poor,,5.2,1.6,7.74,52.01,Medium
2907,25.0,Female,3.6,6.4,6.6,1.1,64.3,99.4,0.6,5.5,3.2,5.7,Average,No,2.1,5.7,5.44,50.68,Medium
2908,18.0,Female,3.5,5.9,2.0,4.0,89.0,91.9,6.0,7.3,,8.2,Good,No,3.6,5.4,8.75,87.44,High
2909,19.0,Female,4.5,5.4,8.7,2.2,56.8,56.6,7.9,11.7,7.7,4.3,Average,Yes,0.6,3.3,6.12,34.75,Low
2910,19.0,Female,5.6,6.1,3.6,1.5,100.0,78.7,10.0,8.4,6.5,5.0,Average,Yes,0.0,5.4,7.15,70.71,High
2911,18.0,Female,3.5,6.9,6.4,2.6,91.0,71.1,5.8,2.1,2.5,7.0,Good,No,0.0,7.2,5.92,56.81,Medium
2912,16.0,Other,5.0,5.5,6.8,2.4,70.3,95.6,1.2,3.8,10.0,4.5,Good,Yes,4.3,5.2,9.35,48.85,Medium
2913,22.0,Other,4.2,7.2,8.9,2.7,96.0,71.3,9.1,1.1,4.7,4.5,Average,No,2.4,4.0,8.96,62.48,Medium
2914,25.0,Male,6.1,6.7,1.8,1.6,87.1,61.2,3.3,3.8,4.6,2.7,Poor,No,4.4,6.0,3.92,58.99,Medium
2915,18.0,Female,3.8,6.5,5.2,1.2,86.1,88.3,7.0,3.6,7.2,8.9,Good,Yes,7.4,6.4,7.12,77.26,High
2916,21.0,Female,4.0,8.5,7.4,4.8,76.5,96.4,7.2,2.8,10.0,7.1,Good,No,3.2,6.0,5.88,65.93,High
2917,22.0,Male,3.5,3.8,10.4,3.0,87.2,82.1,6.3,2.4,4.4,7.8,Good,Yes,5.0,8.7,7.05,51.06,Medium
2918,23.0,Female,3.9,6.5,5.9,2.9,61.6,85.3,1.3,1.2,6.8,4.8,Average,No,0.7,6.3,6.68,36.98,Low
2919,19.0,Male,2.6,,4.5,1.4,80.8,53.5,5.2,4.6,3.3,10.0,Poor,No,1.2,0.8,5.62,23.82,Low
2920,19.0,Female,2.4,7.3,11.1,5.8,71.2,52.0,2.5,2.3,5.4,6.7,Good,Yes,0.0,3.0,5.19,28.68,Low
2921,19.0,Female,5.8,8.0,8.0,2.8,76.3,50.7,7.0,4.6,9.3,7.4,Average,No,0.3,2.3,9.46,57.89,Medium
2922,22.0,Male,2.0,,9.4,0.0,71.0,93.9,4.1,1.1,,6.7,Average,No,1.9,3.6,6.14,46.49,Low
2923,23.0,Male,3.6,5.4,3.0,3.5,71.7,68.0,1.3,1.5,4.5,6.4,Poor,No,3.0,5.9,6.78,39.4,Low
2924,18.0,Female,6.2,4.8,7.3,1.6,96.7,89.9,7.6,3.5,7.5,6.3,Good,No,2.3,4.3,6.09,60.4,Medium
2925,19.0,Male,3.5,7.1,3.3,4.6,61.4,64.2,3.2,4.5,5.9,4.3,Average,No,3.2,4.9,4.87,41.87,Low
2926,24.0,Male,5.9,6.6,2.7,4.9,85.3,74.7,6.3,1.1,5.3,6.8,Poor,No,4.9,2.1,4.82,48.57,Medium
2927,23.0,Male,3.0,6.6,7.5,4.7,65.3,60.5,4.4,2.1,1.6,6.7,Good,No,2.0,7.2,6.18,47.69,Medium
2928,25.0,Female,2.1,6.5,7.6,2.2,97.2,69.1,7.9,3.1,4.6,5.2,Average,Yes,3.5,8.4,7.89,60.27,Medium
2929,22.0,Female,1.0,5.7,4.8,2.8,85.6,44.2,7.8,1.6,3.2,5.3,Good,No,4.4,1.0,5.72,45.66,Low
2930,19.0,Female,6.8,8.5,9.6,3.4,61.7,69.3,6.5,7.9,6.2,6.2,Good,No,2.3,15.2,9.66,61.22,Medium
2931,21.0,Male,1.9,7.4,5.1,4.6,84.4,67.7,5.8,3.3,3.7,3.9,Good,No,3.0,13.5,7.94,57.69,Medium
2932,21.0,Female,5.7,5.5,5.3,1.1,71.0,44.5,5.0,4.7,1.0,6.4,Poor,No,5.0,2.5,,63.26,High
2933,17.0,Female,2.2,6.1,5.9,3.2,82.9,82.6,3.3,4.2,6.3,8.2,Poor,No,8.2,2.4,5.24,46.1,Low
2934,20.0,Male,6.8,5.9,5.4,6.4,62.7,85.3,4.7,0.8,6.8,3.2,,No,5.5,2.5,4.12,36.9,Low
2935,22.0,Female,8.6,8.8,9.2,2.0,96.0,63.1,7.1,4.8,3.9,8.5,Good,No,0.9,3.0,5.64,67.49,High
2936,18.0,Female,0.8,7.9,3.4,3.0,54.0,53.3,10.0,1.1,1.0,4.4,Good,No,2.0,6.3,6.51,54.45,Medium
2937,22.0,Female,2.0,6.8,4.1,7.7,69.5,100.0,7.3,9.6,4.8,5.9,Good,No,1.2,5.0,4.14,52.62,Medium
2938,21.0,Male,5.7,9.2,3.0,2.6,65.9,79.6,7.6,6.1,3.6,8.0,Average,Yes,5.0,6.6,3.95,74.47,High
2939,25.0,Male,5.2,8.9,10.7,0.2,84.9,32.2,5.8,1.6,2.4,5.4,Poor,No,6.0,6.8,7.44,46.62,Low
2940,16.0,Male,5.8,6.7,5.2,2.9,73.6,67.3,7.2,0.7,5.1,7.2,Poor,No,0.0,4.0,6.75,52.31,Medium
2941,18.0,Male,3.1,6.5,4.1,6.0,77.6,63.3,1.3,4.6,4.7,4.0,Average,Yes,3.8,12.4,8.28,44.92,Low
2942,21.0,Female,8.2,6.5,5.3,4.9,71.7,61.9,4.4,4.3,3.8,7.1,Good,Yes,2.6,1.3,3.68,50.0,Medium
2943,19.0,Male,4.4,5.8,8.1,1.2,62.2,94.7,7.5,2.9,6.2,,Good,No,2.6,5.3,7.21,64.54,High
2944,22.0,Female,1.8,9.3,7.7,3.7,77.0,79.6,7.6,1.0,5.7,4.8,Average,Yes,3.3,2.2,4.48,37.43,Low
2945,22.0,Male,3.7,5.7,4.6,2.7,63.1,86.4,4.8,1.9,4.6,6.3,Good,No,3.2,1.5,5.94,54.67,Medium
2946,17.0,Male,1.8,8.1,5.0,4.5,56.2,72.5,3.1,3.6,5.9,6.6,Poor,No,2.1,3.5,7.98,45.67,Low
2947,20.0,Female,7.4,7.9,2.4,1.9,88.1,90.4,5.8,3.9,5.3,5.5,Average,No,4.9,15.6,6.66,71.63,High
2948,20.0,Male,2.9,6.6,6.3,3.9,63.9,68.3,5.0,8.5,3.5,4.7,,,2.0,2.1,5.32,48.61,Medium
2949,19.0,Female,5.2,9.4,9.2,6.4,98.9,79.2,8.1,2.9,5.7,5.3,Poor,No,3.1,8.5,6.62,73.94,High
2950,24.0,Male,3.3,5.0,4.5,0.0,98.4,83.8,7.5,4.5,6.8,5.8,Good,No,2.8,4.8,8.12,69.21,High
2951,23.0,Male,3.0,6.9,7.6,4.1,91.5,63.8,9.4,1.4,5.0,6.1,Good,Yes,7.2,0.4,5.06,61.91,Medium
2952,22.0,Female,0.4,6.4,4.5,5.4,65.2,37.3,8.4,4.2,10.0,6.6,Average,No,3.0,2.3,5.95,32.41,Low
2953,22.0,Female,5.4,8.2,3.3,0.2,100.0,44.5,5.4,1.1,5.4,6.3,Good,No,8.9,5.0,6.73,65.56,High
2954,20.0,,6.8,7.5,7.7,1.7,49.4,100.0,6.8,5.7,6.5,5.2,Poor,No,5.4,7.9,,60.04,Medium
2955,24.0,Male,2.4,4.8,11.9,2.3,68.5,86.7,10.0,2.3,6.0,5.1,Good,No,0.0,9.5,7.69,47.89,Medium
2956,22.0,Female,1.1,8.6,7.4,1.7,90.8,87.6,5.1,2.4,6.9,7.3,Good,No,1.3,3.0,5.81,61.82,Medium
2957,22.0,Other,5.8,7.6,5.0,1.5,89.8,100.0,6.4,0.6,6.8,6.5,Good,No,2.1,6.4,8.59,78.88,High
2958,,Female,0.9,5.7,5.1,2.3,70.6,54.8,6.0,2.4,4.2,6.4,Good,No,7.6,9.7,5.59,40.29,Low
